IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.96.192.168,2083,443,true,HKG,Asia Pacific,Hong Kong,55,25.55
8.217.91.121,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,24.76
8.217.49.34,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,18.92
8.218.174.118,2095,2095,false,HKG,Asia Pacific,Hong Kong,69,17.47
8.210.156.6,8880,8880,false,HKG,Asia Pacific,Hong Kong,62,17.22
47.76.80.72,2087,2087,true,HKG,Asia Pacific,Hong Kong,53,16.78
8.210.119.11,2095,2095,false,HKG,Asia Pacific,Hong Kong,57,16.61
103.148.72.147,1443,443,true,HKG,Asia Pacific,Hong Kong,86,15.35
47.243.162.49,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,15.18
47.245.4.22,2087,2087,true,HKG,Asia Pacific,Hong Kong,154,14.96
47.76.80.72,8080,8080,false,HKG,Asia Pacific,Hong Kong,57,14.12
47.243.162.49,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,13.28
47.74.26.196,2095,2095,false,HKG,Asia Pacific,Hong Kong,162,12.89
8.210.119.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,59,12.35
154.197.92.116,889,0,false,HKG,Asia Pacific,Hong Kong,52,12.15
47.76.146.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,65,12.01
47.242.59.216,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,11.82
47.74.26.196,2087,2087,true,HKG,Asia Pacific,Hong Kong,150,11.45
47.245.4.22,8080,8080,false,HKG,Asia Pacific,Hong Kong,157,11.45
47.76.49.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,70,11.43
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,9.96
47.76.80.72,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,9.88
45.152.65.151,36031,443,true,HKG,Asia Pacific,Hong Kong,55,9.25
47.245.39.49,2096,2096,true,HKG,Asia Pacific,Hong Kong,159,8.88
45.145.229.1,18450,443,true,HKG,Asia Pacific,Hong Kong,57,8.88
47.245.39.49,8443,8443,true,HKG,Asia Pacific,Hong Kong,156,8.58
47.76.49.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,58,8.19
47.245.39.49,8880,8880,false,HKG,Asia Pacific,Hong Kong,183,7.75
47.76.49.246,2082,0,false,HKG,Asia Pacific,Hong Kong,55,7.41
202.139.228.24,12321,443,true,HKG,Asia Pacific,Hong Kong,47,7.32
47.245.40.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,164,7.00
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,6.95
39.126.158.244,39048,443,true,ICN,Asia Pacific,Seoul,79,6.72
223.122.34.65,36131,443,true,HKG,Asia Pacific,Hong Kong,59,6.65
58.82.242.199,23559,443,true,HKG,Asia Pacific,Hong Kong,67,6.36
58.82.242.199,20500,443,true,HKG,Asia Pacific,Hong Kong,68,6.28
39.126.160.150,29493,443,true,ICN,Asia Pacific,Seoul,67,6.08
47.245.40.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,152,6.03
34.96.192.168,2096,443,true,HKG,Asia Pacific,Hong Kong,58,5.72
49.142.75.128,15964,443,true,ICN,Asia Pacific,Seoul,69,5.60
39.126.160.150,38099,443,true,ICN,Asia Pacific,Seoul,71,5.59
49.142.66.75,20433,443,true,ICN,Asia Pacific,Seoul,97,5.48
124.156.139.6,80,80,false,FRA,Europe,Frankfurt,0,5.42
47.245.39.49,2083,2083,true,HKG,Asia Pacific,Hong Kong,158,5.31
